publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Cholesterol	2090-1283	2090-1291	2010						http://www.doaj.org/doaj?func=openurl&issn=20901283&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094859		620864055	raw
Gladius	0436-029X	1988-4168	1961						http://www.doaj.org/doaj?func=openurl&issn=0436029X&genre=journal&uiLanguage=en				fulltext		Consejo Superior de Investigaciones Cientificas					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6734556		747810631	raw
Journal of Cancer	1837-9664		2010						http://www.doaj.org/doaj?func=openurl&issn=18379664&genre=journal&uiLanguage=en				fulltext		Ivyspring International Publisher					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3369992		630655947	raw
Journal of Sustainable Development	1913-9063	1913-9071	2008						http://www.doaj.org/doaj?func=openurl&issn=19139063&genre=journal&uiLanguage=en		jsd		fulltext		Canadian Center of Science and Education					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3318166	ojs	435529528	raw
Revista E-Curriculum	1809-3876		2009						http://www.doaj.org/doaj?func=openurl&issn=18093876&genre=journal&uiLanguage=en				fulltext		Pontifícia Universidade Católica de São Paulo, Pós-graduação Educação: Currículo PUCSP					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	666233		76238884	raw
Revista de Investigación en Educación	1697-5200		2005						http://www.doaj.org/doaj?func=openurl&issn=16975200&genre=journal&uiLanguage=en				fulltext		Universidade de Vigo					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266334		664116139	raw
ISRN Communications and Networking	2090-4355	2090-4363	2011						http://www.doaj.org/doaj?func=openurl&issn=20904355&genre=journal&uiLanguage=en				fulltext		International Scholarly Research Network					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5845310		875039394	raw
Retrovirology : Research and Treatment	1178-1238		2008						http://www.doaj.org/doaj?func=openurl&issn=11781238&genre=journal&uiLanguage=en		52		fulltext		Libertas Academica					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2754062	libertas		raw
International Journal of Agronomy	1687-8159	1687-8167	2009						http://www.doaj.org/doaj?func=openurl&issn=16878159&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3337929		238512631	raw
Journal of Language and Linguistic Studies	1305-578X		2005						http://www.doaj.org/doaj?func=openurl&issn=1305578X&genre=journal&uiLanguage=en				fulltext		Journal of Language and Linguistic Studies					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6948165		762030367	raw
German Journal of Psychiatry	1433-1055		1998						http://www.doaj.org/doaj?func=openurl&issn=14331055&genre=journal&uiLanguage=en				fulltext		University of Goettingen					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27787		44207272	raw
